,date,ticker,value
295,2021-05-01,EMB,29184
296,2021-05-01,MBB,84
297,2021-05-01,IMCB,3231
298,2021-05-01,IMCG,3482
299,2021-05-01,ISCB,223
300,2021-05-01,ISCV,748
301,2021-05-01,ILCB,2182
302,2021-05-01,ILCG,1508
303,2021-05-01,ACWX,2475
304,2021-05-01,MCHI,200
305,2021-05-01,EFA,236021
306,2021-05-01,EFG,17
307,2021-05-01,EFAV,47597
308,2021-05-01,SCZ,20
309,2021-05-01,EFV,338
310,2021-05-01,EEM,316286
311,2021-05-01,SDG,1727
312,2021-05-01,DSI,1146
313,2021-05-01,LRGF,26854
314,2021-05-01,SUSA,1056
315,2021-05-01,USMV,214450
316,2021-05-01,MTUM,24655
317,2021-05-01,QUAL,31316
318,2021-05-01,SIZE,300
319,2021-05-01,VLUE,124
320,2021-05-01,EWU,89
321,2021-05-01,IBB,456
322,2021-05-01,MUB,19334
323,2021-05-01,PFF,37664
324,2021-05-01,SOXX,693
325,2021-05-01,REZ,36
326,2021-05-01,IWB,26
327,2021-05-01,IWF,2856
328,2021-05-01,IWD,453
329,2021-05-01,IWY,122221
330,2021-05-01,IWM,2687
331,2021-05-01,IWO,11
332,2021-05-01,IWN,21
333,2021-05-01,IWV,400
334,2021-05-01,IWR,621
335,2021-05-01,IWP,23929
336,2021-05-01,IWS,126
337,2021-05-01,OEF,963
338,2021-05-01,IVW,17451
339,2021-05-01,IJK,324
340,2021-05-01,IJT,22341
341,2021-05-01,IJS,166
342,2021-05-01,DVY,511
343,2021-05-01,SHV,43758
344,2021-05-01,SUB,350
345,2021-05-01,TIP,99607
346,2021-05-01,IYM,28
347,2021-05-01,IYC,8983
348,2021-05-01,IYE,102
349,2021-05-01,IYH,6775
350,2021-05-01,GOVT,51034
351,2021-05-01,IDU,431
352,2021-05-01,ITA,1073
353,2021-05-01,IYF,1757
354,2021-05-01,IHF,1064
355,2021-05-01,IYJ,1130
356,2021-05-01,IYR,1047
357,2021-05-01,IYZ,28
358,2021-05-01,MEAR,1000
359,2021-05-01,LQDH,7893
360,2021-05-01,JPST,37784
361,2021-05-01,JMBS,47566
362,2021-05-01,VNLA,6184
363,2021-05-01,JSML,14835
364,2021-05-01,JD,5961
365,2021-05-01,JNJ,41406
366,2021-05-01,JPM,6818
367,2021-05-01,JNPR,15483
368,2021-05-01,K,48639
369,2021-05-01,KDP,76042
370,2021-05-01,KMB,35331
371,2021-05-01,KSS,25830
372,2021-05-01,LLY,13769
373,2021-05-01,LPSN,4971
374,2021-05-01,LMT,696
375,2021-05-01,LOW,8731
376,2021-05-01,LULU,1684
377,2021-05-01,LITE,5023
378,2021-05-01,M,14636
379,2021-05-01,MA,2422
380,2021-05-01,MKC,21620
381,2021-05-01,MCD,24075
382,2021-05-01,MRK,26677
383,2021-05-01,MRCY,5562
384,2021-05-01,MSFT,47148
385,2021-05-01,MDLZ,30824
386,2021-05-01,MOV,51463
387,2021-05-01,NTAP,8254
388,2021-05-01,NEE,7429
389,2021-05-01,NKE,11884
390,2021-05-01,QQH,9175
391,2021-05-01,LGH,9863
392,2021-05-01,NWE,19476
393,2021-05-01,NVO,3076
394,2021-05-01,NUE,7711
395,2021-05-01,NVDA,722
396,2021-05-01,ODFL,1818
397,2021-05-01,ORCL,2526
398,2021-05-01,SRVR,1518
399,2021-05-01,PTNQ,14510
400,2021-05-01,PAR,7469
401,2021-05-01,PYPL,2197
402,2021-05-01,PEP,29929
403,2021-05-01,PFE,141771
404,2021-05-01,HYS,316
405,2021-05-01,BOND,100
406,2021-05-01,LDUR,87867
407,2021-05-01,MINT,1190
408,2021-05-01,PNC,1547
409,2021-05-01,TROW,2062
410,2021-05-01,PG,40096
411,2021-05-01,PLD,4307
412,2021-05-01,ONLN,2381
413,2021-05-01,PAWZ,2905
414,2021-05-01,CSM,10702
415,2021-05-01,EMDV,921
416,2021-05-01,BIB,100
417,2021-05-01,SSO,896
418,2021-05-01,UPRO,537
419,2021-05-01,NOBL,10579
420,2021-05-01,UYG,444
421,2021-05-01,TQQQ,4738
422,2021-05-01,QCOM,9949
423,2021-05-01,PWR,7749
424,2021-05-01,RL,3619
425,2021-05-01,RTX,16758
426,2021-05-01,O,6306
427,2021-05-01,RNG,1647
428,2021-05-01,RHI,3511
429,2021-05-01,CRM,3327
430,2021-05-01,SRPT,30930
431,2021-05-01,SCHE,605
432,2021-05-01,SCHF,3696
433,2021-05-01,SCHO,9701
434,2021-05-01,SCHZ,12763
435,2021-05-01,SCHX,5950
436,2021-05-01,SCHG,22486
437,2021-05-01,SCHV,25374
438,2021-05-01,SCHM,80366
439,2021-05-01,SCHH,1119
440,2021-05-01,SCHA,8010
441,2021-05-01,SCHP,17486
442,2021-05-01,SEM,7542
443,2021-05-01,XLC,2453
444,2021-05-01,XLY,1753
445,2021-05-01,XLP,2213
446,2021-05-01,XLE,37122
447,2021-05-01,XLF,50760
448,2021-05-01,XLV,6177
449,2021-05-01,XLI,10813
450,2021-05-01,XLB,62
451,2021-05-01,XLRE,125
452,2021-05-01,XLK,56095
453,2021-05-01,XLU,4441
454,2021-05-01,NOW,1011
455,2021-05-01,SJM,2971
456,2021-05-01,SNAP,20855
457,2021-05-01,SNA,2638
458,2021-05-01,SEDG,665
459,2021-05-01,SO,53190
460,2021-05-01,GLD,16846
461,2021-05-01,RWX,27
462,2021-05-01,SPEM,11762
463,2021-05-01,SPDW,413123
464,2021-05-01,SPAB,467315
465,2021-05-01,SPTL,12646
466,2021-05-01,SPYD,199
467,2021-05-01,SPYV,160293
